Wave,Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6
1,1,0,0,0,0,0
2,2,0,0,0,0,0
3,3,0,0,0,0,0
4,4,0,0,0,0,0
5,5,0,0,0,0,0
6,6,0,0,0,0,0
7,8,0,0,0,0,0
8,12,0,0,0,0,0
9,14,0,0,0,0,0
10,0,2,0,0,0,0
11,16,0,0,0,0,0
12,18,0,0,0,0,0
13,0,3,0,0,0,0
14,0,4,0,0,0,0
15,0,6,0,0,0,0
16,20,0,0,0,0,0
17,24,0,0,0,0,0
18,20,8,0,0,0,0
19,0,10,0,0,0,0
20,0,10,5,0,0,0
21,0,10,10,0,0,0
22,0,14,0,0,0,0
23,0,16,0,0,0,0
24,26,0,0,0,0,0
25,0,0,16,0,0,0
26,0,0,20,0,0,0
27,0,20,0,0,0,0
28,30,0,0,0,0,0
29,0,24,0,0,0,0
30,0,0,10,5,0,0
31,0,0,30,0,0,0
32,36,0,0,0,0,0
33,0,28,0,0,0,0
34,0,0,0,6,0,0
35,0,0,24,0,0,0
36,0,30,0,0,0,0
37,30,0,0,0,0,0
38,3,3,3,3,0,0
39,3,4,5,6,0,0
40,0,0,0,3,3,0
41,0,0,0,8,0,0
42,0,0,10,5,5,0
43,0,30,30,0,0,0
44,0,0,35,0,0,0
45,0,30,0,0,4,0
46,0,0,0,0,0,10
47,0,0,0,5,3,15
48,0,0,0,0,0,25
49,0,0,0,0,10,0
50,8,8,8,8,8,8
